lat, lon, z
61.29969182,6.971973851,698.6
61.2998587,6.971834376,701
61.29997521,6.971745948,702.8
61.30006137,6.971598426,704.6
61.30013538,6.971523743,705.8
61.30021979,6.971442857,707
61.30025592,6.971384268,707.8
61.30027519,6.971380832,708
61.30030797,6.971370439,708.4
61.30031727,6.971369096,708.6
61.30032507,6.971376641,708.6
61.30033169,6.971385107,708.6
61.30034108,6.971386698,708.6
61.30035164,6.971389883,708.6
61.30039011,6.971395081,709
61.30049648,6.971510333,709
61.30066529,6.971365995,711.6
61.30076168,6.971314362,712.8
61.30080091,6.971327691,713
61.30087593,6.971396003,713.2
61.30089814,6.971414694,713.2
61.30090811,6.971425842,713.2
61.30091901,6.971435145,713.2
61.30093167,6.971442355,713.4
61.30095991,6.971452329,713.6
61.30098891,6.971460041,713.8
61.30100442,6.971458197,713.8
61.30105027,6.971451743,714.4
61.3011454,6.971405558,715.4
61.30132838,6.971482923,716.6
61.30151337,6.971478648,718.2
61.30163558,6.971168771,721.6
61.30163767,6.971123759,721.8
61.3016878,6.97085076,724.4
61.30169266,6.970667866,725.8
61.30177363,6.97038984,729.4
61.30194286,6.970238378,734.2
61.30202458,6.970198479,736
61.30218694,6.970011145,741.4
61.30232113,6.969869659,745.4
61.30250713,6.96979682,749.4
61.30260796,6.969646449,753.2
61.30262481,6.96963069,753.6
61.30267351,6.969579225,755.2
61.30269027,6.969554247,755.8
61.30277929,6.969486857,758.2
61.30296864,6.969412426,762.2
61.3030947,6.96935744,765
61.30324205,6.969251075,768.8
61.30329805,6.969220899,770.2
61.303491,6.969191898,773.6
61.30366945,6.969264066,773.6
61.30373944,6.969246548,774
61.30384471,6.969202206,774.8
61.30402517,6.969221319,774.8
61.30416255,6.969262053,774.4
61.30426808,6.969351992,773.4
61.30431452,6.969375797,773
61.30435349,6.969405217,772.8
61.30436867,6.969420725,772.6
61.30437705,6.969423322,772.6
61.30448023,6.96950295,771.6
61.30455072,6.969518791,771.4
61.3045954,6.969539161,771.2
61.30469296,6.969644437,769.8
61.30470905,6.969634211,770
61.30483269,6.969602862,770.6
61.30500183,6.969685004,769.8
61.30508657,6.969725491,769.2
61.30512019,6.96975315,769
61.30515506,6.969797994,768.4
61.30526151,6.970054731,764.8
61.30541607,6.970251621,762.2
61.30543174,6.970254806,762.2
61.30550416,6.970195881,763.2
61.30567993,6.970038721,765.6
61.30586022,6.970145675,764.4
61.3060282,6.970286825,762.6
61.3062038,6.970151962,764.8
61.30638292,6.97000997,767.2
61.30643665,6.969982226,767.6
61.30663865,6.969945348,768.6
61.30676011,6.969674024,772.6
61.30679531,6.969595654,773.8
61.30682557,6.969512757,775
61.30687829,6.969383843,777
61.30690067,6.969304298,778.2
61.30705213,6.969018307,782.6
61.30707342,6.968986959,783
61.30721281,6.968712619,787.2
61.30730057,6.968377511,792.2
61.30732949,6.968158828,795.4
61.30732379,6.968074591,796.6
61.30732111,6.968035949,797
61.30731356,6.967992783,797.6
61.30730258,6.967954478,798.2
61.30729009,6.967915669,798.8
61.30724399,6.967533287,804.2
61.30725112,6.967492635,804.8
61.30739017,6.967221227,809
61.30750484,6.966921575,813.6
61.30755136,6.96684966,814.6
61.30759075,6.966773886,815.8
61.30764146,6.966679171,817.2
61.30773936,6.966433162,821
61.30780038,6.966307433,823
61.30780583,6.966159493,825
61.30779645,6.966030328,827
61.30779318,6.965814241,830
61.30779074,6.965767221,830.8
61.30777641,6.965623637,832.8
61.30771883,6.965428676,835.6
61.30770785,6.965403194,835.8
61.30769821,6.965381737,836.2
61.30762973,6.965190629,838.8
61.30762679,6.964782514,844.8
61.307634,6.964621497,847.2
61.30763702,6.964463497,849.4
61.30753023,6.964157392,853.6
61.30741549,6.963838796,857.2
61.30733083,6.96349279,859.6
61.30737986,6.963152316,862
61.30739193,6.963033044,863
61.3074154,6.962652338,865.6
61.30738271,6.962243468,868.6
61.30736059,6.961873408,871.2
61.30730761,6.961610048,872.8
